date,steps
2025-02-20,6816
2025-02-21,6845
2025-02-22,11151
2025-02-23,13823
2025-02-24,19470
2025-02-25,6956
2025-02-26,10196
2025-02-27,11030
2025-02-28,9808
2025-03-01,15343
2025-03-02,4345
2025-03-03,14828
2025-03-04,8219
2025-03-05,18227
2025-03-06,7082
2025-03-07,13202
2025-03-08,8846
2025-03-09,6486
2025-03-10,3950
2025-03-11,9254
2025-03-12,20777
2025-03-13,10672
2025-03-14,9776
2025-03-15,9056
2025-03-16,6864
2025-03-17,429
2025-03-18,9960
2025-03-19,7753
2025-03-20,7414
2025-03-21,12452
2025-03-22,20001
2025-03-23,5392
2025-03-24,14150
2025-03-25,14942
2025-03-26,8799
2025-03-27,4295
2025-03-28,11158
2025-03-29,5651
2025-03-30,16265
2025-03-31,7205
2025-04-01,11710
2025-04-02,12779
2025-04-03,15125
2025-04-04,21846
2025-04-05,3528
2025-04-06,9849
2025-04-07,18360
2025-04-08,10211
2025-04-09,19380
2025-04-10,27331
2025-04-11,20523
2025-04-12,35457
2025-04-13,10918
2025-04-14,7499
2025-04-15,12508
2025-04-16,3294
2025-04-17,9145
2025-04-18,1081
2025-04-19,44771
2025-04-20,21894
2025-04-21,5390
2025-04-22,9662
2025-04-23,8654
2025-04-24,25407
2025-04-25,1507
2025-04-26,20063
2025-04-27,2175
2025-04-28,7942
2025-04-29,6785
2025-04-30,5763
2025-05-01,24668
2025-05-02,7539
2025-05-03,7527
2025-05-04,17302
2025-05-05,16643
2025-05-06,8528
2025-05-07,13563
2025-05-08,21743
2025-05-09,3842
2025-05-10,11390
2025-05-11,551
2025-05-12,14736
2025-05-13,6511
2025-05-14,6420
2025-05-15,7147
2025-05-16,9888
2025-05-17,2409
2025-05-18,8692
2025-05-19,13849
2025-05-20,23837
2025-05-21,29879
2025-05-22,12401
2025-05-23,9964
2025-05-24,7873
2025-05-25,1428
2025-05-26,5354
2025-05-27,12758
2025-05-28,12048
2025-05-29,10339
2025-05-30,9225
2025-05-31,4160
2025-06-01,19384
2025-06-02,9710
2025-06-03,8168
2025-06-04,5428
2025-06-05,33136
2025-06-06,10518
2025-06-07,11320
2025-06-08,515
2025-06-09,9183
2025-06-10,33761
2025-06-11,13193
2025-06-12,15785
2025-06-13,20391
2025-06-14,14138
2025-06-15,4888
2025-06-16,20639
2025-06-17,18575
2025-06-18,29498
2025-06-19,10957
2025-06-20,12403
2025-06-21,8359
2025-06-22,9473
2025-06-23,15695
2025-06-24,13745
2025-06-25,16495
2025-06-26,9569
2025-06-27,8437
2025-06-28,11394
2025-06-29,1735
2025-06-30,1339
2025-07-01,10878
2025-07-02,26527
2025-07-03,11699
2025-07-04,27427
2025-07-05,17618
2025-07-06,21712
2025-07-07,41661
2025-07-08,12790
2025-07-09,23001
2025-07-10,17654
2025-07-11,22319
2025-07-12,30665
2025-07-13,29003
2025-07-14,22347
2025-07-15,13658
2025-07-16,5257
2025-07-17,6200
2025-07-18,4691
2025-07-19,10264
2025-07-20,6657
2025-07-21,7141
2025-07-22,3701
2025-07-23,12516
2025-07-24,11996
2025-07-25,7456
2025-07-26,21380
2025-07-27,380
